FIPS,Data
16033,n/a
16033,31927
16035,47333
16035,47136
16035,41122
16037,47485
16037,n/a
16037,n/a
16039,52034
16039,48549
16039,45154
16041,53222
16041,51471
16041,51583
16043,49330
16043,47911
16043,51806
16045,50859
16045,48217
16045,42888
16047,47063
16047,41945
16047,42626
16049,43561
16049,38912
16049,40299
16051,55695
16051,58115
16051,58055
16053,51207
16053,44154
16053,46421
16055,55720
16055,52208
16055,53189
16057,48001
16057,41659
16057,43310
16059,44549
16059,41025
16059,36031
16061,46362
16061,40345
16061,40313
16063,47942
16063,51507
16063,46383
16065,48124
16065,39954
16065,33620
16067,47259
16067,45463
16067,48021
16069,53548
16069,50021
16069,51804
16071,50636
16071,50250
16071,n/a
16073,41825
16073,37679
16073,36092
16075,48772
16075,49079
16075,48447
16077,47562
16077,46018
16077,47602
16079,42114
16079,41299
16079,39835
16081,61940
16081,60126
16081,55986
16083,50927
16083,47835
16083,49118
16085,54500
16085,57295
16085,54015
16087,45199
16087,41172
16087,37521
17001,51337
17001,49377
17001,48454
17003,38435
17003,n/a
17003,31014
17005,55611
17005,58528
17005,54393
17007,77332
17007,68966
17007,62701
17009,52313
17009,43599
17009,56289
17011,59379
17011,51482
17011,54271
17013,50733
17013,50579
17013,53641
17015,54826
17015,50483
17015,50555
17017,52014
17017,46808
17017,50156
17019,55759
17019,50997
17019,49586
17021,53960
17021,46998
17021,50668
17023,53083
17023,49121
17023,52068
17025,45160
17025,42833
17025,47427
17027,65851
17027,62283
17027,64543
17029,47650
17029,41077
17029,41907
17031,67775
17031,60777
17031,59426
17033,48012
17033,46684
17033,47468
17035,53352
17035,47436
17035,50680
17037,67637
17037,60845
17037,58343
17039,60889
17039,51093
17039,55411
17041,58207
17041,52889
17041,52261
17043,100193
17043,86285
17043,84442
17045,51955
17045,44960
17045,47873
17047,46957
17047,45553
17047,49632
17049,58119
17049,55783
17049,54655
17051,47041
17051,46498
17051,44541
17053,56191
17053,54834
17053,50851
17055,41931
17055,38738
17055,39454
17057,50109
17057,46497
17057,48599
17059,38547
17059,42819
17059,42450
17061,46865
17061,46702
17061,44502
17063,76331
17063,72444
17063,71598
17065,45008
17065,n/a
17065,n/a
17067,54097
17067,48288
17067,51460
17069,40872
17069,n/a
17069,n/a
17071,53729
17071,48956
17071,47428
17073,58820
17073,55394
17073,55755
17075,56188
17075,53320
17075,48857
17077,36817
17077,36245
17077,36008
17079,51244
17079,52444
17079,56523
17081,49523
17081,46377
17081,46109
17083,62083
17083,60246
17083,56320
17085,59642
17085,56650
17085,55532
17087,49185
17087,46893
17087,45743
17089,87595
17089,76354
17089,74862
17091,61296
17091,56881
17091,56542
17093,95379
17093,90021
17093,89860
17095,52256
17095,44556
17095,41972
17097,98844
17097,88952
17097,82613
17099,59490
17099,58257
17099,54693
17101,44809
17101,43684
17101,44504
17103,60462
17103,54648
17103,58319
17105,61016
17105,56899
17105,54339
17107,58133
17107,55208
17107,58271
17109,47436
17109,37973
17109,42911
17111,95675
17111,86174
17111,82230
17113,69397
17113,64946
17113,64573
17115,55875
17115,49955
17115,49052
17117,53412
17117,53156
17117,53890
17119,61309
17119,58523
17119,56536
17121,51991
17121,43913
17121,44679
17123,61361
17123,55340
17123,55173
17125,53110
17125,47842
17125,44695
17127,46487
17127,46282
17127,42168
17129,68770
17129,63355
17129,62368
17131,60353
17131,57360
17131,55649
17133,81646
17133,76902
17133,74410
17135,48886
17135,46042
17135,47807
17137,54509
17137,50302
17137,49353
17139,59159
17139,52239
17139,53979
17141,67076
17141,62795
17141,57655
17143,59003
17143,56051
17143,53063
17145,49119
17145,45853
17145,45864
17147,67524
17147,62817
17147,67360
17149,45940
17149,45300
17149,41387
17151,44347
17151,44699
17151,n/a
17153,37430
17153,35123
17153,34655
17155,67141
17155,63612
17155,64741
17157,54627
17157,50725
17157,49717
17159,46025
17159,47229
17159,46454
17161,56981
17161,52084
17161,51426
17163,57778
17163,54716
17163,51103
17165,42458
17165,40161
17165,40722
17167,63399
17167,58851
17167,58687
17169,52000
17169,49222
17169,47321
17171,53967
17171,55730
17171,48542
17173,55069
17173,50282
17173,49807
17175,52875
17175,55429
17175,52284
17177,59575
17177,48791
17177,46427
17179,66784
17179,61104
17179,60874
17181,45743
17181,44798
17181,46716
17183,50285
17183,44456
17183,44930
17185,50878
17185,51858
17185,49716
17187,53462
17187,46912
17187,47278
17189,60411
17189,57958
17189,54520
17191,44986
17191,44175
17191,46405
17193,43687
17193,44762
17193,46279
17195,59558
17195,51002
17195,51969
17197,91856
17197,85525
17197,80782
17199,47215
17199,45721
17199,48600
17201,64770
17201,53179
17201,51110
17203,75851
17203,74239
17203,69507
18001,59958
18001,48806
18001,48290
18003,62977
18003,54887
18003,51091
18005,65210
18005,59425
18005,57331
18007,58759
18007,52187
18007,49183
18009,51302
18009,47310
18009,40622
18011,73251
18011,77286
18011,75591
18013,64508
18013,56492
18013,59292
18015,62986
18015,54144
18015,56188
18017,57844
18017,47983
18017,45558
18019,59199
18019,53370
18019,52834
18021,54408
18021,50326
18021,50924
18023,60155
18023,54551
18023,51659
18025,48182
18025,42802
18025,40067
18027,50274
18027,50243
18027,48355
18029,72169
18029,63985
18029,62905
18031,59627
18031,52836
18031,52270
18033,66280
18033,52642
18033,51374
18035,51152
18035,42890
18035,41208
18037,65188
18037,59571
18037,57307
18039,65644
18039,53246
18039,52449
18041,57323
18041,41731
18041,41476
18043,64971
18043,59065
18043,59451
18045,56259
18045,48243
18045,46669
18047,64245
18047,58194
18047,55588
18049,56511
18049,45488
18049,47108
18051,55368
18051,52811
18051,51149
18053,53371
18053,43925
18053,42046
18055,50177
18055,46311
18055,49648
18057,104826
18057,92331
18057,90582
18059,83263
18059,68788
18059,70973
